"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $2600.68/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x3afd5b5e9a72c1789b576b0d16f3b730b8f127aad60fe8f77958fb8bc639972f","5394949","1523072651","2018-04-07 03:44:11","0xe4451838999d1b7dda2eadbd6d3c65b3f96dc493","0x439b54caf661c21e6b231d972d7eaa98f199590f","","14","0","36409.52","0.00712878","18.5396755704","384.98","","","Transfer",""
"0x9ca3463feff5d58a3fe9fbc5101a2875cf73c752d4f483cb34f01c10b2364747","5397467","1523108432","2018-04-07 13:40:32","0x52b8398551bb1d0bdc022355897508f658ad42f8","0x439b54caf661c21e6b231d972d7eaa98f199590f","","0","0","0","0.0136823","35.583283964","384.98","","","Handle External Buyers",""
"0x93de79505b1b4da4406785b0c1f5745c3d67add55a697f813c5a5d2e2aa55d78","5403963","1523201243","2018-04-08 15:27:23","0x70dcaae79ce026ae8b5c9283132a72535c732c4d","0x439b54caf661c21e6b231d972d7eaa98f199590f","","15.86599","0","41262.3628732","0.00475252","12.3597837136","400.72","","","Transfer",""
"0x18b4bd430e3a1d6ff7755e9bab4c7b5a41e4b5aac9816c899097462b71300c9b","5454509","1523934223","2018-04-17 03:03:43","0x21e059e988a200ddebb0a786058937eeb75d694c","0x439b54caf661c21e6b231d972d7eaa98f199590f","","10","0","26006.8","0.004871333","12.66877830644","503.03","","","Transfer",""
"0x3d5fe97e69e708a28b5cb5c4b0f4450b1acf58815c99a9eb3200f61f1ecc992f","5457310","1523976315","2018-04-17 14:45:15","0xddcfdb1dde1b3d05f7d6712d385c197f7a6ef62f","0x439b54caf661c21e6b231d972d7eaa98f199590f","","222","0","577350.96","0.000475252","1.23597837136","503.03","","","Transfer",""
"0x9d29d27e7ff2924ddaa0fe633a384ba851b1ee182459daa652f8b938e22bf9ac","5461611","1524040296","2018-04-18 08:31:36","0xdc4dcc9877de8fbe7eac774777a8ae29d5274458","0x439b54caf661c21e6b231d972d7eaa98f199590f","","10.1","0","26266.868","0.011762487","30.59046469116","525.78","","","Transfer",""
"0x3d9e6ac8a3437e330c49f45fa418d2073f579d8a801eebab72cdb4bb3f74b771","5464642","1524085339","2018-04-18 21:02:19","0xf874d912643e6736050c23155b97caca5bc9d46a","0x439b54caf661c21e6b231d972d7eaa98f199590f","","10","0","26006.8","0.004871333","12.66877830644","525.78","","","Transfer",""
"0x5a030f92fa1da90667114dbcc0c8de380698acba4df7e5a0076321c22bee2718","5469085","1524151550","2018-04-19 15:25:50","0x6cbac816f05c8a0084a17fa683f37787354ee7ab","0x439b54caf661c21e6b231d972d7eaa98f199590f","","30","0","78020.4","0.00638826","16.6138200168","567.25","","","Transfer",""
"0x6eaad6a060ded532690cab22abdcf8d3082b3d6400caa330601efb4703ad1db0","5470762","1524176152","2018-04-19 22:15:52","0x0dd218a0d85a0e420ba5f6777910b35f41a18319","0x439b54caf661c21e6b231d972d7eaa98f199590f","","10","0","26006.8","0.00237626","6.1798918568","567.25","","","Transfer",""
"0x56e067a80c7ba7d1529dfb39ec5e9acc4726b6339ef80e14c3b7c838cd0ecba1","5474131","1524227530","2018-04-20 12:32:10","0xcf9c8fa6b968e828267a8402c021af35a9895707","0x439b54caf661c21e6b231d972d7eaa98f199590f","","10","0","26006.8","0.004871333","12.66877830644","617.16","","","Transfer",""
